2021-12-13 11:12:219 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-13 11:12:872 INFO  StartPage :32 - please accept cookies [[ChromeDriver: chrome on WINDOWS (1f1fbe10d045811a290f082ce955d72b)] -> xpath: //button[normalize-space()='Accept additional cookies']]
2021-12-13 11:12:443 INFO  StartPage :39 - Click on start button: [[ChromeDriver: chrome on WINDOWS (1f1fbe10d045811a290f082ce955d72b)] -> xpath: //a[normalize-space()='Start now']]
2021-12-13 11:12:508 INFO  SelectNationalityPage :32 - select nationality: [[ChromeDriver: chrome on WINDOWS (1f1fbe10d045811a290f082ce955d72b)] -> xpath: //select[@id='response']]
2021-12-13 11:12:719 INFO  SelectNationalityPage :36 - click on continue button [[ChromeDriver: chrome on WINDOWS (1f1fbe10d045811a290f082ce955d72b)] -> xpath: //button[normalize-space()='Continue']]
2021-12-13 11:12:392 INFO  ReasonForTravelPage :37 - Select Reason For Visit[[[ChromeDriver: chrome on WINDOWS (1f1fbe10d045811a290f082ce955d72b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (1f1fbe10d045811a290f082ce955d72b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (1f1fbe10d045811a290f082ce955d72b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (1f1fbe10d045811a290f082ce955d72b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (1f1fbe10d045811a290f082ce955d72b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (1f1fbe10d045811a290f082ce955d72b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (1f1fbe10d045811a290f082ce955d72b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (1f1fbe10d045811a290f082ce955d72b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (1f1fbe10d045811a290f082ce955d72b)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-13 11:12:415 INFO  SelectNationalityPage :36 - click on continue button [[ChromeDriver: chrome on WINDOWS (1f1fbe10d045811a290f082ce955d72b)] -> xpath: //button[normalize-space()='Continue']]
2021-12-13 11:12:07 INFO  ResultPage :26 - get Result Message[[ChromeDriver: chrome on WINDOWS (1f1fbe10d045811a290f082ce955d72b)] -> xpath: //h2[@class='gem-c-heading gem-c-heading--font-size-27 govuk-!-margin-bottom-6']]
2021-12-13 11:12:137 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-13 11:12:323 INFO  StartPage :32 - please accept cookies [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //button[normalize-space()='Accept additional cookies']]
2021-12-13 11:12:827 INFO  StartPage :39 - Click on start button: [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //a[normalize-space()='Start now']]
2021-12-13 11:12:861 INFO  SelectNationalityPage :32 - select nationality: [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //select[@id='response']]
2021-12-13 11:12:971 INFO  SelectNationalityPage :36 - click on continue button [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //button[normalize-space()='Continue']]
2021-12-13 11:12:466 INFO  ReasonForTravelPage :37 - Select Reason For Visit[[[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-13 11:12:488 INFO  SelectNationalityPage :36 - click on continue button [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //button[normalize-space()='Continue']]
2021-12-13 11:12:962 INFO  DurationOfStayPage :42 - Select Duration Of stay[[[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //main[@role='main']//label], [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //main[@role='main']//label]]
2021-12-13 11:12:986 INFO  SelectNationalityPage :36 - click on continue button [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //button[normalize-space()='Continue']]
2021-12-13 11:12:583 INFO  WorkTypePage :42 -  select job type :[[[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-13 11:12:592 INFO  SelectNationalityPage :36 - click on continue button [[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //button[normalize-space()='Continue']]
2021-12-13 11:12:114 INFO  ResultPage :26 - get Result Message[[ChromeDriver: chrome on WINDOWS (dac1af68b177248c81818e8654b2fa47)] -> xpath: //h2[@class='gem-c-heading gem-c-heading--font-size-27 govuk-!-margin-bottom-6']]
2021-12-13 11:12:143 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-13 11:12:16 INFO  StartPage :32 - please accept cookies [[ChromeDriver: chrome on WINDOWS (e2f163f96a193d2e932d3f14015dc302)] -> xpath: //button[normalize-space()='Accept additional cookies']]
2021-12-13 11:12:704 INFO  StartPage :39 - Click on start button: [[ChromeDriver: chrome on WINDOWS (e2f163f96a193d2e932d3f14015dc302)] -> xpath: //a[normalize-space()='Start now']]
2021-12-13 11:12:751 INFO  SelectNationalityPage :32 - select nationality: [[ChromeDriver: chrome on WINDOWS (e2f163f96a193d2e932d3f14015dc302)] -> xpath: //select[@id='response']]
2021-12-13 11:12:865 INFO  SelectNationalityPage :36 - click on continue button [[ChromeDriver: chrome on WINDOWS (e2f163f96a193d2e932d3f14015dc302)] -> xpath: //button[normalize-space()='Continue']]
2021-12-13 11:12:501 INFO  ReasonForTravelPage :37 - Select Reason For Visit[[[ChromeDriver: chrome on WINDOWS (e2f163f96a193d2e932d3f14015dc302)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e2f163f96a193d2e932d3f14015dc302)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e2f163f96a193d2e932d3f14015dc302)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e2f163f96a193d2e932d3f14015dc302)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e2f163f96a193d2e932d3f14015dc302)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e2f163f96a193d2e932d3f14015dc302)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e2f163f96a193d2e932d3f14015dc302)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e2f163f96a193d2e932d3f14015dc302)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e2f163f96a193d2e932d3f14015dc302)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-13 11:12:524 INFO  SelectNationalityPage :36 - click on continue button [[ChromeDriver: chrome on WINDOWS (e2f163f96a193d2e932d3f14015dc302)] -> xpath: //button[normalize-space()='Continue']]
2021-12-13 11:12:65 INFO  FamilyImmigrationStatusPage :42 - Select Duration Of stay[[[ChromeDriver: chrome on WINDOWS (e2f163f96a193d2e932d3f14015dc302)] -> xpath:  //div[@class='govuk-radios']//input], [[ChromeDriver: chrome on WINDOWS (e2f163f96a193d2e932d3f14015dc302)] -> xpath:  //div[@class='govuk-radios']//input]]
2021-12-13 11:12:93 INFO  SelectNationalityPage :36 - click on continue button [[ChromeDriver: chrome on WINDOWS (e2f163f96a193d2e932d3f14015dc302)] -> xpath: //button[normalize-space()='Continue']]
2021-12-13 11:12:595 INFO  ResultPage :26 - get Result Message[[ChromeDriver: chrome on WINDOWS (e2f163f96a193d2e932d3f14015dc302)] -> xpath: //h2[@class='gem-c-heading gem-c-heading--font-size-27 govuk-!-margin-bottom-6']]
2021-12-14 12:12:419 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-14 12:12:22 INFO  StartPage :32 - please accept cookies [[ChromeDriver: chrome on WINDOWS (a5bf606b6694a7089c6df73d6d304d52)] -> xpath: //button[normalize-space()='Accept additional cookies']]
2021-12-14 12:12:599 INFO  StartPage :39 - Click on start button: [[ChromeDriver: chrome on WINDOWS (a5bf606b6694a7089c6df73d6d304d52)] -> xpath: //a[normalize-space()='Start now']]
2021-12-14 12:12:630 INFO  SelectNationalityPage :32 - select nationality: [[ChromeDriver: chrome on WINDOWS (a5bf606b6694a7089c6df73d6d304d52)] -> xpath: //select[@id='response']]
2021-12-14 12:12:723 INFO  SelectNationalityPage :36 - click on continue button [[ChromeDriver: chrome on WINDOWS (a5bf606b6694a7089c6df73d6d304d52)] -> xpath: //button[normalize-space()='Continue']]
2021-12-14 12:12:96 INFO  ReasonForTravelPage :37 - Select Reason For Visit[[[ChromeDriver: chrome on WINDOWS (a5bf606b6694a7089c6df73d6d304d52)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a5bf606b6694a7089c6df73d6d304d52)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a5bf606b6694a7089c6df73d6d304d52)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a5bf606b6694a7089c6df73d6d304d52)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a5bf606b6694a7089c6df73d6d304d52)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a5bf606b6694a7089c6df73d6d304d52)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a5bf606b6694a7089c6df73d6d304d52)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a5bf606b6694a7089c6df73d6d304d52)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a5bf606b6694a7089c6df73d6d304d52)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-14 12:12:106 INFO  SelectNationalityPage :36 - click on continue button [[ChromeDriver: chrome on WINDOWS (a5bf606b6694a7089c6df73d6d304d52)] -> xpath: //button[normalize-space()='Continue']]
2021-12-14 12:12:759 INFO  ResultPage :26 - get Result MessageProxy element for: DefaultElementLocator 'By.xpath: //h2[@class='gem-c-heading gem-c-heading--font-size-27 govuk-!-margin-bottom-6']'
2021-12-15 20:12:839 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-15 20:12:984 INFO  StartPage :30 - please accept cookies [[ChromeDriver: chrome on WINDOWS (ea6d43307c9bb0cd378dbc86457f4bc9)] -> xpath: //button[normalize-space()='Accept additional cookies']]
2021-12-15 20:12:227 INFO  StartPage :37 - Click on start button: [[ChromeDriver: chrome on WINDOWS (ea6d43307c9bb0cd378dbc86457f4bc9)] -> xpath: //a[normalize-space()='Start now']]
2021-12-15 20:12:253 INFO  SelectNationalityPage :29 - select nationality: [[ChromeDriver: chrome on WINDOWS (ea6d43307c9bb0cd378dbc86457f4bc9)] -> xpath: //select[@id='response']]
2021-12-15 20:12:369 INFO  SelectNationalityPage :33 - click on continue button [[ChromeDriver: chrome on WINDOWS (ea6d43307c9bb0cd378dbc86457f4bc9)] -> xpath: //button[normalize-space()='Continue']]
